,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,100,FB,0,0,0,0,1,-1,0.8950765674559686,330.5600,,7.7500,2.40%,(2.40%),"19,937,722",,Meta Platforms Inc
1,106,U,0,0,0,0,1,-1,0.8266132135659594,153.9400,,0.4400,0.29%,(0.29%),"4,894,760",,Unity Software Inc
2,5,NVDA,1,0,1,0,0,0,0.7168100733692024,116.2500,$116.2500,-0.0100,-0.01%,(-0.01%),"5,806,963",/#3485FF,Starbucks Corporation
3,0,AAPL,1,0,0,1,0,0,0.6846742780728254,334.9700,$334.9700,0.0500,0.01%,(0.01%),"24,760,988",/#E24A4A,Microsoft Corporation
4,18,PFE,0,1,0,0,0,-1,0.6631537195747292,342.3400,$342.3400,2.8300,0.83%,(0.83%),"4,226,942",/#E24A4A,Mastercard Inc
5,17,NFLX,1,0,1,0,0,0,0.6514135508498011,"2,974.4100","$2,974.4100",13.6800,0.46%,(0.46%),"948,197",/#E24A4A,Alphabet Inc Class C
6,2,GOOG,0,1,0,0,0,-1,0.46688335517612833,51.4000,$51.4000,-0.3200,-0.62%,(-0.62%),"37,429,199",/#3485FF,Pfizer Inc.
7,14,PG,0,1,0,0,0,-1,0.46033234507387477,44.7200,$44.7200,0.8400,1.91%,(1.91%),"50,135,877",/#E24A4A,Lucid Group Inc
8,7,JPM,0,1,0,0,0,-1,0.3600227830690014,628.0800,$628.0800,2.5000,0.40%,(0.40%),"2,220,308",/#E24A4A,Netflix Inc
9,6,XOM,0,1,0,0,0,-1,0.3426751023216294,318.2600,$318.2600,-6.0100,-1.85%,(-1.85%),"47,555,145",/#3485FF,NVIDIA Corporation
10,19,NKE,0,1,0,0,0,-1,0.33281304716962323,653.1000,$653.1000,3.1400,0.48%,(0.48%),"2,416,232",/#E24A4A,Adobe Inc
11,12,WMT,0,1,0,0,0,-1,0.2875385367860204,20.9700,$20.9700,-0.6000,-2.78%,(-2.78%),"4,611,596",/#3485FF,IONQ Inc
12,10,JNJ,0,1,0,0,0,-1,0.2811720042961782,411.2500,$411.2500,-4.7100,-1.13%,(-1.13%),"4,079,365",/#3485FF,Home Depot Inc
13,9,HD,0,1,0,0,0,-1,0.2526163093971366,170.2500,$170.2500,-1.0400,-0.61%,(-0.61%),"5,614,587",/#3485FF,Nike Inc
14,8,V,0,1,0,0,0,-1,0.2456455578805167,125.0800,$125.0800,-0.4900,-0.39%,(-0.39%),"22,275,034",/#3485FF,Alibaba Group Holding Ltd - ADR
15,15,MA,0,1,0,0,0,-1,0.2435242325825955,283.4000,$283.4000,1.0500,0.37%,(0.37%),"7,107,664",/#E24A4A,Moderna Inc
16,1,MSFT,0,1,0,0,0,-1,0.21803727004698464,44.1600,$44.1600,-0.5500,-1.23%,(-1.23%),"50,560,328",/#3485FF,Bank of America Corp
17,13,BAC,0,1,0,0,0,-1,0.21677192001256726,208.9900,$208.9900,1.6200,0.78%,(0.78%),"11,749,206",/#E24A4A,Visa Inc
18,16,ADBE,0,1,0,0,0,-1,0.16454810250562826,186.4900,$186.4900,3.3500,1.83%,(1.83%),"4,218,671",/#E24A4A,Airbnb Inc
19,3,AMZN,0,1,0,0,0,-1,0.09368328192778731,121.8000,$121.8000,-0.5200,-0.43%,(-0.43%),"5,795,681",/#3485FF,Taiwan Semiconductor Mfg. Co. Ltd.
20,4,LCID,0,1,0,0,0,-1,0.06114455227687325,197.3500,$197.3500,6.3300,3.31%,(3.31%),"14,433,205",/#E24A4A,Paypal Holdings Inc
21,11,IONQ,0,1,0,0,0,-1,0.007672829616164236,"3,523.1600","$3,523.1600",-0.1300,0.00%,(0.00%),"2,262,683",/#3485FF,"Amazon.com, Inc."
