,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,pricedollar,change,changepct,changepctparenthesis,volume,color,name
0,106,U,0,0,0,0,5,-1,0.5382731717977504,147.5700,,0.6800,0.46%,(0.46%),"10,685",,Unity Software Inc
1,2,GOOG,2,3,1,0,0,2,0.5053041704371896,18.7900,$18.7900,-0.0600,-0.32%,(-0.32%),"121,617",/#3485FF,IONQ Inc
2,12,WMT,0,5,0,0,0,-1,0.437636560699047,612.6900,$612.6900,10.5600,1.75%,(1.75%),"6,034",/#E24A4A,Netflix Inc
3,113,AMD,0,1,0,0,4,-1,0.3935648750104622,139.0600,,-4.9500,-3.44%,(-3.44%),"105,643",,"Advanced Micro Devices, Inc."
4,8,V,2,3,2,0,0,3,0.3839098272621956,113.3600,$113.3600,2.1200,1.91%,(1.91%),"13,676",/#E24A4A,Starbucks Corporation
5,100,FB,0,2,0,0,3,-1,0.36981131426406794,317.8700,,11.0300,3.59%,(3.59%),"36,789",,Meta Platforms Inc
6,5,NVDA,2,3,1,0,0,4,0.3107546678829865,61.5800,$61.5800,0.7000,1.15%,(1.15%),"2,676",/#E24A4A,Exxon Mobil Corp
7,4,LCID,1,4,1,0,0,4,0.2891702154377737,"3,427.3700","$3,427.3700",37.5800,1.11%,(1.11%),"7,085",/#E24A4A,"Amazon.com, Inc."
8,13,BAC,1,4,0,0,0,4,0.2664917103063453,165.3200,$165.3200,3.4800,2.15%,(2.15%),"273,787",/#E24A4A,Apple Inc
9,104,DIS,0,3,0,0,2,-1,0.24580187145003937,150.3700,,4.1500,2.84%,(2.84%),"18,311",,Walt Disney Co
10,117,MRNA,0,2,0,0,3,-1,0.22356341792917858,265.3300,,-41.3900,-13.49%,(-13.49%),"28,493",,Moderna Inc
11,103,RBLX,0,1,0,0,4,-1,0.21105685358705653,113.2500,,-0.5900,-0.52%,(-0.52%),"34,082",,Roblox Corp
12,10,JNJ,2,3,0,0,0,2,0.1893574602981374,51.4800,$51.4800,-2.7800,-5.12%,(-5.12%),"49,076",/#3485FF,Pfizer Inc.
13,0,AAPL,2,3,0,0,0,4,0.16940312499107354,116.7800,$116.7800,12.1100,11.57%,(11.57%),"106,020",/#E24A4A,Rivian Automotive Inc
14,11,IONQ,1,4,0,0,0,0,0.16565955728391157,139.0600,$139.0600,-4.9500,-3.44%,(-3.44%),"114,748",/#3485FF,"Advanced Micro Devices, Inc."
15,18,PFE,0,5,0,0,0,-1,0.12633553565062672,168.9100,$168.9100,-1.3600,-0.80%,(-0.80%),"4,469",/#3485FF,Nike Inc
16,3,AMZN,2,3,1,0,0,3,0.10235771598504387,202.6800,$202.6800,6.3800,3.25%,(3.25%),"8,925",/#E24A4A,Visa Inc
17,15,MA,0,5,0,0,0,-1,0.0981781768496822,300.3700,$300.3700,-6.5600,-2.14%,(-2.14%),"160,379",/#3485FF,NVIDIA Corporation
18,19,NKE,1,4,0,0,0,0,0.09452953572808015,333.3300,$333.3300,11.2800,3.50%,(3.50%),"3,529",/#E24A4A,Mastercard Inc
19,118,SBUX,0,4,0,0,1,-1,0.09322634127743197,113.3600,,2.1200,1.91%,(1.91%),"11,019",,Starbucks Corporation
20,1,MSFT,2,3,0,0,0,4,0.08083893433504805,147.5700,$147.5700,0.6800,0.46%,(0.46%),"12,845",/#E24A4A,Unity Software Inc
21,6,XOM,0,5,0,0,0,-1,0.06426574534776956,326.1900,$326.1900,3.1800,0.98%,(0.98%),"50,035",/#E24A4A,Microsoft Corporation
22,9,HD,0,5,0,0,0,-1,0.06230951447579167,"2,875.9300","$2,875.9300",25.5200,0.90%,(0.90%),"2,325",/#E24A4A,Alphabet Inc Class C
23,7,JPM,0,5,0,0,0,-1,0.04620047540512008,415.7000,$415.7000,8.4500,2.07%,(2.07%),"1,730",/#E24A4A,Home Depot Inc
24,14,PG,1,4,0,0,0,2,0.046012791882318035,152.1500,$152.1500,2.2600,1.51%,(1.51%),"7,743",/#E24A4A,Procter & Gamble Co
25,116,TSM,0,4,0,0,2,-1,0.03925250882082336,119.1400,,-0.3300,-0.28%,(-0.28%),"22,268",,Taiwan Semiconductor Mfg. Co. Ltd.
26,115,BA,0,3,0,0,2,-1,0.023983740922055973,205.8800,,7.3900,3.72%,(3.72%),"13,538",,Boeing Co
27,102,RIVN,0,0,0,0,-1,-1,0.020688695403997058,116.7800,,12.1100,11.57%,(11.57%),"88,461",,Rivian Automotive Inc
28,17,NFLX,0,5,0,0,0,-1,0.01973583563182388,160.1600,$160.1600,1.9300,1.22%,(1.22%),"3,469",/#E24A4A,JPMorgan Chase & Co.
29,16,ADBE,0,5,0,0,0,-1,0.011751759170282521,44.1500,$44.1500,0.2800,0.64%,(0.64%),"13,148",/#E24A4A,Bank of America Corp
