score,scode,name
65,U,Unity Software Inc
75,RIVN,Rivian Automotive Inc
95,NKE,Nike Inc
85,V,Visa Inc
95,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
95,SBUX,Starbucks Corporation
75,AMZN,"Amazon.com, Inc."
40,XOM,Exxon Mobil Corp
80,MSFT,Microsoft Corporation
80,GOOG,Alphabet Inc Class C
90,NVDA,NVIDIA Corporation
85,MA,Mastercard Inc
85,PFE,Pfizer Inc.
75,AMD,"Advanced Micro Devices, Inc."
75,NFLX,Netflix Inc
60,AAPL,Apple Inc
15,PG,Procter & Gamble Co
55,BAC,Bank of America Corp
50,JPM,JPMorgan Chase & Co.
85,DIS,Walt Disney Co
75,FB,Meta Platforms Inc
85,BA,Boeing Co
82,MRNA,Moderna Inc
45,WMT,Walmart Inc
75,RBLX,Roblox Corp
65,ADBE,Adobe Inc
75,JNJ,Johnson & Johnson
45,BABA,Alibaba Group Holding Ltd - ADR
35,IONQ,IONQ Inc
35,CEI,Camber Energy Inc
30,LCID,Lucid Group Inc
30,UNH,UnitedHealth Group Inc
20,HD,Home Depot Inc
16,PYPL,Paypal Holdings Inc
15,PLTR,Palantir Technologies Inc
5,NKLA,Nikola Corporation
2,MU,"Micron Technology, Inc."
1,ASML,ASML Holding NV
0,ABNB,Airbnb Inc
