score,scode,name
99,GOOG,Alphabet Inc Class C
99,NVDA,NVIDIA Corporation
99,ASML,ASML Holding NV
99,AMD,"Advanced Micro Devices, Inc."
98,MSFT,Microsoft Corporation
97,AMZN,"Amazon.com, Inc."
96,TSM,Taiwan Semiconductor Mfg. Co. Ltd.
95,MU,"Micron Technology, Inc."
94,FB,Meta Platforms Inc
93,MRNA,Moderna Inc
92,AAPL,Apple Inc
92,ADBE,Adobe Inc
92,U,Unity Software Inc
91,NFLX,Netflix Inc
88,CEI,Camber Energy Inc
87,DIS,Walt Disney Co
85,RBLX,Roblox Corp
85,PYPL,Paypal Holdings Inc
82,ABNB,Airbnb Inc
82,UNH,UnitedHealth Group Inc
81,RIVN,Rivian Automotive Inc
80,PFE,Pfizer Inc.
78,SBUX,Starbucks Corporation
75,LCID,Lucid Group Inc
73,NKLA,Nikola Corporation
72,BA,Boeing Co
70,NKE,Nike Inc
70,JNJ,Johnson & Johnson
68,BABA,Alibaba Group Holding Ltd - ADR
65,MA,Mastercard Inc
60,WMT,Walmart Inc
60,V,Visa Inc
56,PLTR,Palantir Technologies Inc
55,BAC,Bank of America Corp
50,XOM,Exxon Mobil Corp
50,JPM,JPMorgan Chase & Co.
50,PG,Procter & Gamble Co
45,IONQ,IONQ Inc
40,HD,Home Depot Inc
