,scode,name,user_id
0,AAPL,Apple Inc,1
1,ABNB,Airbnb Inc,1
2,FB,Meta Platforms Inc,1
3,MSFT,Microsoft Corporation,1
4,PFE,Pfizer Inc.,1
5,AMZN,"Amazon.com, Inc.",1
6,TSM,Taiwan Semiconductor Mfg. Co. Ltd.,1
7,GOOG,Alphabet Inc Class C,1
8,DIS,Walt Disney Co,1
9,U,Unity Software Inc,1
10,RBLX,Roblox Corp,1
11,NVDA,NVIDIA Corporation,1
12,NFLX,Netflix Inc,1
13,MRNA,Moderna Inc,1
14,ADBE,Adobe Inc,1
15,SBUX,Starbucks Corporation,1
16,NKE,Nike Inc,1
17,BAC,Bank of America Corp,1
18,BABA,Alibaba Group Holding Ltd - ADR,1
19,WMT,Walmart Inc,1
20,XOM,Exxon Mobil Corp,1
21,PG,Procter & Gamble Co,1
22,JNJ,Johnson & Johnson,1
23,AMD,"Advanced Micro Devices, Inc.",1
24,HD,Home Depot Inc,1
25,MA,Mastercard Inc,1
26,PLTR,Palantir Technologies Inc,1
27,NKLA,Nikola Corporation,1
28,V,Visa Inc,1
29,RIVN,Rivian Automotive Inc,1
30,JPM,JPMorgan Chase & Co.,1
31,BA,Boeing Co,1
32,ASML,ASML Holding NV,1
33,MU,"Micron Technology, Inc.",1
34,PYPL,Paypal Holdings Inc,1
35,CEI,Camber Energy Inc,1
36,LCID,Lucid Group Inc,1
37,IONQ,IONQ Inc,1
38,UNH,UnitedHealth Group Inc,1
39,NKE,Nike Inc,2
40,TSM,Taiwan Semiconductor Mfg. Co. Ltd.,2
41,SBUX,Starbucks Corporation,2
42,NVDA,NVIDIA Corporation,2
43,V,Visa Inc,2
44,MA,Mastercard Inc,2
45,PFE,Pfizer Inc.,2
46,DIS,Walt Disney Co,2
47,BA,Boeing Co,2
48,MRNA,Moderna Inc,2
49,MSFT,Microsoft Corporation,2
50,GOOG,Alphabet Inc Class C,2
51,AMZN,"Amazon.com, Inc.",2
52,JNJ,Johnson & Johnson,2
53,NFLX,Netflix Inc,2
54,FB,Meta Platforms Inc,2
55,RBLX,Roblox Corp,2
56,AMD,"Advanced Micro Devices, Inc.",2
57,RIVN,Rivian Automotive Inc,2
58,ADBE,Adobe Inc,2
59,U,Unity Software Inc,2
60,AAPL,Apple Inc,2
61,BAC,Bank of America Corp,2
62,JPM,JPMorgan Chase & Co.,2
63,WMT,Walmart Inc,2
64,BABA,Alibaba Group Holding Ltd - ADR,2
65,XOM,Exxon Mobil Corp,2
66,IONQ,IONQ Inc,2
67,CEI,Camber Energy Inc,2
68,LCID,Lucid Group Inc,2
69,UNH,UnitedHealth Group Inc,2
70,HD,Home Depot Inc,2
71,PYPL,Paypal Holdings Inc,2
72,PG,Procter & Gamble Co,2
73,PLTR,Palantir Technologies Inc,2
74,NKLA,Nikola Corporation,2
75,MU,"Micron Technology, Inc.",2
76,ASML,ASML Holding NV,2
77,ABNB,Airbnb Inc,2
78,NVDA,NVIDIA Corporation,3
79,GOOG,Alphabet Inc Class C,3
80,AAPL,Apple Inc,3
81,AMD,"Advanced Micro Devices, Inc.",3
82,MSFT,Microsoft Corporation,3
83,AMZN,"Amazon.com, Inc.",3
84,RBLX,Roblox Corp,3
85,ASML,ASML Holding NV,3
86,NFLX,Netflix Inc,3
87,FB,Meta Platforms Inc,3
88,U,Unity Software Inc,3
89,JPM,JPMorgan Chase & Co.,3
90,BABA,Alibaba Group Holding Ltd - ADR,3
91,RIVN,Rivian Automotive Inc,3
92,LCID,Lucid Group Inc,3
93,ABNB,Airbnb Inc,3
94,SBUX,Starbucks Corporation,3
95,PFE,Pfizer Inc.,3
96,JNJ,Johnson & Johnson,3
97,WMT,Walmart Inc,3
98,UNH,UnitedHealth Group Inc,3
99,ADBE,Adobe Inc,3
100,V,Visa Inc,3
101,MA,Mastercard Inc,3
102,NKE,Nike Inc,3
