Method,Score
Random Order,2
Random Order,2
Random Order,3
Random Order,2
Random Order,2
Random Order,5
Random Order,2
Random Order,4
Random Order,5
Random Order,3
Random Order,3
Random Order,5
Ordered Full,1
Ordered Full,1
Ordered Full,4
Ordered Full,2
Ordered Full,1
Ordered Full,2
Ordered Full,2
Ordered Full,1
Ordered Full,2
Ordered Full,2
Ordered Full,2
Ordered Full,2
Ordered Partial,1
Ordered Partial,1
Ordered Partial,4
Ordered Partial,2
Ordered Partial,1
Ordered Partial,2
Ordered Partial,1
Ordered Partial,2
Ordered Partial,2
Ordered Partial,2
Ordered Partial,2
Ordered Partial,2
